startDate,value,unit,sourceName
2021-04-03 07:01:25 -0800,231.181,lb,Health Mate
2021-04-02 04:45:05 -0800,232.288,lb,Health Mate
2021-03-31 05:10:18 -0800,231.981,lb,Health Mate
2021-03-30 04:56:46 -0800,230.522,lb,Health Mate
2021-03-29 05:26:57 -0800,229.124,lb,Health Mate
2021-03-26 05:01:51 -0800,228.633,lb,Health Mate
2021-03-24 05:18:58 -0800,229.014,lb,Health Mate
2021-03-23 05:16:27 -0800,225.709,lb,Health Mate
2021-03-22 05:28:00 -0800,226.534,lb,Health Mate
2021-03-21 06:47:20 -0800,227.954,lb,Health Mate
2021-03-20 05:34:08 -0800,229.208,lb,Health Mate
2021-03-19 05:24:47 -0800,226.591,lb,Health Mate
2021-03-17 05:21:06 -0800,226.269,lb,Health Mate
2021-03-16 05:19:54 -0800,227.731,lb,Health Mate
2021-03-15 05:10:05 -0800,228.505,lb,Health Mate
2021-03-11 06:08:31 -0800,225.698,lb,Health Mate
2021-03-10 06:09:45 -0800,225.639,lb,Health Mate
2021-03-09 06:22:00 -0800,226.293,lb,Health Mate
2021-03-08 06:26:20 -0800,227.189,lb,Health Mate
2021-03-06 06:34:29 -0800,226.695,lb,Health Mate
2021-03-05 06:21:57 -0800,225.509,lb,Health Mate
2021-03-04 06:18:28 -0800,224.973,lb,Health Mate
2021-03-03 06:30:04 -0800,226.305,lb,Health Mate
2021-02-28 07:28:41 -0800,227.812,lb,Health Mate
2021-02-27 07:56:38 -0800,227.277,lb,Health Mate
2021-02-26 06:32:11 -0800,227.138,lb,Health Mate
2021-02-24 19:41:19 -0800,230.169,lb,Health Mate
2021-02-22 06:53:22 -0800,225.542,lb,Health Mate
2021-02-20 08:03:19 -0800,227.131,lb,Health Mate
2021-02-19 07:12:36 -0800,228.289,lb,Health Mate
2021-02-18 07:03:24 -0800,227.502,lb,Health Mate
2021-02-17 06:18:10 -0800,226.446,lb,Health Mate
2021-02-16 06:03:50 -0800,225.513,lb,Health Mate
2021-02-11 06:42:21 -0800,223.948,lb,Health Mate
2021-02-08 05:53:14 -0800,223.588,lb,Health Mate
